,Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,B2P Fiscal Year,Individuals Directly Served,Population Estimate 2000m,geometry,pop_sum
190,Uganda - Mugume - 1038791,Buliisa,Mugume,1038791,Complete,,2023,3096.0,,"POLYGON ((31.4058 1.731617, 31.405660357073494 1.7287745029304427, 31.405242773131693 1.7259593806615323, 31.404551269736235 1.7231987443596206, 31.403592506442827 1.7205191804614124, 31.4023757166661 1.717946494632046, 31.400912618756774 1.7155054632424316, 31.39921730314752 1.7132195947592543, 31.397306096654408 1.71111090334559, 31.395197405240744 1.7091996968524805, 31.392911536757566 1.7075043812432262, 31.390470505367954 1.7060412833338976, 31.387897819538587 1.7048244935571726, 31.38521825564038 1.7038657302637659, 31.382457619338467 1.7031742268683063, 31.379642497069558 1.7027566429265062, 31.3768 1.702617, 31.37395750293044 1.7027566429265062, 31.37114238066153 1.7031742268683063, 31.36838174435962 1.7038657302637659, 31.365702180461412 1.7048244935571726, 31.363129494632044 1.7060412833338976, 31.360688463242433 1.7075043812432262, 31.358402594759255 1.7091996968524805, 31.35629390334559 1.71111090334559, 31.35438269685248 1.7132195947592543, 31.352687381243225 1.7155054632424316, 31.3512242833339 1.717946494632046, 31.35000749355717 1.7205191804614124, 31.349048730263764 1.7231987443596206, 31.348357226868306 1.7259593806615323, 31.347939642926505 1.7287745029304427, 31.3478 1.731617, 31.347939642926505 1.7344594970695573, 31.348357226868306 1.7372746193384676, 31.349048730263764 1.7400352556403793, 31.35000749355717 1.7427148195385875, 31.3512242833339 1.745287505367954, 31.352687381243225 1.7477285367575683, 31.35438269685248 1.7500144052407456, 31.35629390334559 1.75212309665441, 31.358402594759255 1.7540343031475194, 31.360688463242433 1.7557296187567737, 31.363129494632044 1.7571927166661023, 31.365702180461412 1.7584095064428273, 31.36838174435962 1.759368269736234, 31.37114238066153 1.7600597731316936, 31.37395750293044 1.7604773570734937, 31.3768 1.7606169999999999, 31.379642497069558 1.7604773570734937, 31.382457619338467 1.7600597731316936, 31.38521825564038 1.759368269736234, 31.387897819538587 1.7584095064428273, 31.390470505367954 1.7571927166661023, 31.392911536757566 1.7557296187567737, 31.395197405240744 1.7540343031475194, 31.397306096654408 1.75212309665441, 31.39921730314752 1.7500144052407456, 31.400912618756774 1.7477285367575683, 31.4023757166661 1.745287505367954, 31.403592506442827 1.7427148195385875, 31.404551269736235 1.7400352556403793, 31.405242773131693 1.7372746193384676, 31.405660357073494 1.7344594970695573, 31.4058 1.731617))",10010
236,Uganda - Tabagon - 1017617,Kween,Tabagon,1017617,Complete,In Service,2020,1245.0,,"POLYGON ((34.575568000000004 1.421969, 34.57542835707349 1.4191265029304427, 34.575010773131694 1.4163113806615324, 34.574319269736236 1.4135507443596207, 34.573360506442825 1.4108711804614125, 34.572143716666105 1.408298494632046, 34.570680618756775 1.4058574632424317, 34.56898530314752 1.4035715947592544, 34.56707409665441 1.40146290334559, 34.56496540524075 1.3995516968524806, 34.56267953675757 1.3978563812432263, 34.560238505367955 1.3963932833338977, 34.55766581953859 1.3951764935571727, 34.55498625564038 1.394217730263766, 34.552225619338465 1.3935262268683064, 34.54941049706956 1.3931086429265063, 34.546568 1.3929690000000001, 34.54372550293044 1.3931086429265063, 34.540910380661536 1.3935262268683064, 34.53814974435962 1.394217730263766, 34.53547018046141 1.3951764935571727, 34.532897494632046 1.3963932833338977, 34.53045646324243 1.3978563812432263, 34.52817059475925 1.3995516968524806, 34.52606190334559 1.40146290334559, 34.52415069685248 1.4035715947592544, 34.522455381243226 1.4058574632424317, 34.5209922833339 1.408298494632046, 34.51977549355718 1.4108711804614125, 34.518816730263765 1.4135507443596207, 34.51812522686831 1.4163113806615324, 34.51770764292651 1.4191265029304427, 34.517568 1.421969, 34.51770764292651 1.4248114970695573, 34.51812522686831 1.4276266193384677, 34.518816730263765 1.4303872556403794, 34.51977549355718 1.4330668195385876, 34.5209922833339 1.435639505367954, 34.522455381243226 1.4380805367575684, 34.52415069685248 1.4403664052407457, 34.52606190334559 1.44247509665441, 34.52817059475925 1.4443863031475195, 34.53045646324243 1.4460816187567738, 34.532897494632046 1.4475447166661024, 34.53547018046141 1.4487615064428274, 34.53814974435962 1.4497202697362341, 34.540910380661536 1.4504117731316937, 34.54372550293044 1.4508293570734938, 34.546568 1.450969, 34.54941049706956 1.4508293570734938, 34.552225619338465 1.4504117731316937, 34.55498625564038 1.4497202697362341, 34.55766581953859 1.4487615064428274, 34.560238505367955 1.4475447166661024, 34.56267953675757 1.4460816187567738, 34.56496540524075 1.4443863031475195, 34.56707409665441 1.44247509665441, 34.56898530314752 1.4403664052407459, 34.570680618756775 1.4380805367575684, 34.572143716666105 1.435639505367954, 34.573360506442825 1.4330668195385876, 34.574319269736236 1.4303872556403794, 34.575010773131694 1.4276266193384677, 34.57542835707349 1.4248114970695573, 34.575568000000004 1.421969))",13923
242,Uganda - Aryowet - 1021288,Bukwo,Aryowet,1021288,Complete,In Service,2021,1666.0,,"POLYGON ((34.729049 1.390363, 34.72890935707349 1.3875205029304427, 34.728491773131694 1.3847053806615324, 34.727800269736235 1.3819447443596207, 34.726841506442824 1.3792651804614124, 34.725624716666104 1.376692494632046, 34.724161618756774 1.3742514632424316, 34.72246630314752 1.3719655947592544, 34.72055509665441 1.36985690334559, 34.71844640524075 1.3679456968524806, 34.71616053675757 1.3662503812432263, 34.713719505367955 1.3647872833338976, 34.71114681953859 1.3635704935571726, 34.70846725564038 1.362611730263766, 34.705706619338464 1.3619202268683064, 34.70289149706956 1.3615026429265062, 34.700049 1.361363, 34.69720650293044 1.3615026429265062, 34.694391380661536 1.3619202268683064, 34.69163074435962 1.362611730263766, 34.68895118046141 1.3635704935571726, 34.686378494632045 1.3647872833338976, 34.68393746324243 1.3662503812432263, 34.68165159475925 1.3679456968524806, 34.67954290334559 1.36985690334559, 34.67763169685248 1.3719655947592544, 34.675936381243226 1.3742514632424316, 34.674473283333896 1.376692494632046, 34.673256493557176 1.3792651804614124, 34.672297730263764 1.3819447443596207, 34.671606226868306 1.3847053806615324, 34.67118864292651 1.3875205029304427, 34.671049 1.390363, 34.67118864292651 1.3932054970695573, 34.671606226868306 1.3960206193384677, 34.672297730263764 1.3987812556403794, 34.673256493557176 1.4014608195385876, 34.674473283333896 1.404033505367954, 34.675936381243226 1.4064745367575684, 34.67763169685248 1.4087604052407456, 34.67954290334559 1.41086909665441, 34.68165159475925 1.4127803031475195, 34.68393746324243 1.4144756187567737, 34.686378494632045 1.4159387166661024, 34.68895118046141 1.4171555064428274, 34.69163074435962 1.4181142697362341, 34.694391380661536 1.4188057731316936, 34.69720650293044 1.4192233570734938, 34.700049 1.419363, 34.70289149706956 1.4192233570734938, 34.705706619338464 1.4188057731316936, 34.70846725564038 1.4181142697362341, 34.71114681953859 1.4171555064428274, 34.713719505367955 1.4159387166661024, 34.71616053675757 1.4144756187567737, 34.71844640524075 1.4127803031475195, 34.72055509665441 1.41086909665441, 34.72246630314752 1.4087604052407459, 34.724161618756774 1.4064745367575684, 34.725624716666104 1.404033505367954, 34.726841506442824 1.4014608195385876, 34.727800269736235 1.3987812556403794, 34.728491773131694 1.3960206193384677, 34.72890935707349 1.3932054970695573, 34.729049 1.390363))",4736
253,Uganda - Ndoragi 1- Nyamirima lower - 1021784,Ibanda,Ndoragi 1- Nyamirima lower,1021784,Complete,In Service,2022,13100.0,,"POLYGON ((30.5582606 -0.1880372, 30.558120957073495 -0.1908796970695572, 30.557703373131694 -0.1936948193384677, 30.557011869736236 -0.1964554556403794, 30.55605310644283 -0.1991350195385876, 30.5548363166661 -0.2017077053679539, 30.553373218756775 -0.2041487367575684, 30.55167790314752 -0.2064346052407457, 30.54976669665441 -0.2085432966544099, 30.547658005240745 -0.2104545031475194, 30.545372136757567 -0.2121498187567738, 30.542931105367956 -0.2136129166661023, 30.540358419538588 -0.2148297064428273, 30.53767885564038 -0.2157884697362341, 30.53491821933847 -0.2164799731316937, 30.53210309706956 -0.2168975570734937, 30.5292606 -0.2170372, 30.526418102930442 -0.2168975570734937, 30.523602980661533 -0.2164799731316937, 30.52084234435962 -0.2157884697362341, 30.518162780461413 -0.2148297064428273, 30.515590094632046 -0.2136129166661023, 30.513149063242434 -0.2121498187567738, 30.510863194759256 -0.2104545031475194, 30.508754503345592 -0.2085432966544099, 30.50684329685248 -0.2064346052407457, 30.505147981243226 -0.2041487367575684, 30.5036848833339 -0.2017077053679539, 30.502468093557173 -0.1991350195385876, 30.501509330263765 -0.1964554556403794, 30.500817826868307 -0.1936948193384677, 30.500400242926506 -0.1908796970695573, 30.5002606 -0.1880372, 30.500400242926506 -0.1851947029304427, 30.500817826868307 -0.1823795806615323, 30.501509330263765 -0.1796189443596206, 30.502468093557173 -0.1769393804614124, 30.5036848833339 -0.174366694632046, 30.505147981243226 -0.1719256632424315, 30.50684329685248 -0.1696397947592543, 30.508754503345592 -0.1675311033455901, 30.510863194759256 -0.1656198968524806, 30.513149063242434 -0.1639245812432262, 30.515590094632046 -0.1624614833338977, 30.518162780461413 -0.1612446935571727, 30.52084234435962 -0.1602859302637659, 30.523602980661533 -0.1595944268683063, 30.526418102930442 -0.1591768429265063, 30.5292606 -0.1590372, 30.53210309706956 -0.1591768429265063, 30.53491821933847 -0.1595944268683063, 30.53767885564038 -0.1602859302637659, 30.540358419538588 -0.1612446935571727, 30.542931105367956 -0.1624614833338977, 30.545372136757567 -0.1639245812432262, 30.547658005240745 -0.1656198968524806, 30.54976669665441 -0.1675311033455901, 30.55167790314752 -0.1696397947592542, 30.553373218756775 -0.1719256632424315, 30.5548363166661 -0.174366694632046, 30.55605310644283 -0.1769393804614124, 30.557011869736236 -0.1796189443596206, 30.557703373131694 -0.1823795806615323, 30.558120957073495 -0.1851947029304427, 30.5582606 -0.1880372))",8227
262,Uganda - Korya - 1011116,Kween,Korya,1011116,Complete,In Service,2021,1160.0,4853.0,"POLYGON ((34.529075000000006 1.410182, 34.52893535707349 1.4073395029304427, 34.528517773131696 1.4045243806615324, 34.52782626973624 1.4017637443596207, 34.52686750644283 1.3990841804614125, 34.52565071666611 1.396511494632046, 34.52418761875678 1.3940704632424317, 34.52249230314752 1.3917845947592544, 34.52058109665441 1.38967590334559, 34.51847240524075 1.3877646968524806, 34.51618653675757 1.3860693812432263, 34.51374550536796 1.3846062833338977, 34.511172819538594 1.3833894935571727, 34.50849325564038 1.382430730263766, 34.50573261933847 1.3817392268683064, 34.50291749706956 1.3813216429265063, 34.500075 1.3811820000000001, 34.497232502930444 1.3813216429265063, 34.49441738066154 1.3817392268683064, 34.491656744359624 1.382430730263766, 34.48897718046141 1.3833894935571727, 34.48640449463205 1.3846062833338977, 34.48396346324243 1.3860693812432263, 34.481677594759255 1.3877646968524806, 34.479568903345594 1.38967590334559, 34.47765769685248 1.3917845947592544, 34.47596238124323 1.3940704632424317, 34.4744992833339 1.396511494632046, 34.47328249355718 1.3990841804614125, 34.47232373026377 1.4017637443596207, 34.47163222686831 1.4045243806615324, 34.47121464292651 1.4073395029304427, 34.471075 1.410182, 34.47121464292651 1.4130244970695574, 34.47163222686831 1.4158396193384677, 34.47232373026377 1.4186002556403794, 34.47328249355718 1.4212798195385876, 34.4744992833339 1.423852505367954, 34.47596238124323 1.4262935367575684, 34.47765769685248 1.4285794052407457, 34.479568903345594 1.43068809665441, 34.481677594759255 1.4325993031475195, 34.48396346324243 1.4342946187567738, 34.48640449463205 1.4357577166661024, 34.48897718046141 1.4369745064428274, 34.491656744359624 1.4379332697362341, 34.49441738066154 1.4386247731316937, 34.497232502930444 1.4390423570734938, 34.500075 1.439182, 34.50291749706956 1.4390423570734938, 34.50573261933847 1.4386247731316937, 34.50849325564038 1.4379332697362341, 34.511172819538594 1.4369745064428274, 34.51374550536796 1.4357577166661024, 34.51618653675757 1.4342946187567738, 34.51847240524075 1.4325993031475195, 34.52058109665441 1.43068809665441, 34.52249230314752 1.428579405240746, 34.52418761875678 1.4262935367575684, 34.52565071666611 1.423852505367954, 34.52686750644283 1.4212798195385876, 34.52782626973624 1.4186002556403794, 34.528517773131696 1.4158396193384677, 34.52893535707349 1.4130244970695574, 34.529075000000006 1.410182))",13990
275,Uganda - Banyal - 1011118,Kween,Banyal,1011118,Complete,In Service,2020,1489.0,5195.0,"POLYGON ((34.578231 1.423756, 34.57809135707349 1.4209135029304427, 34.57767377313169 1.4180983806615324, 34.576982269736234 1.4153377443596207, 34.57602350644282 1.4126581804614124, 34.5748067166661 1.410085494632046, 34.57334361875677 1.4076444632424316, 34.57164830314752 1.4053585947592544, 34.56973709665441 1.40324990334559, 34.56762840524075 1.4013386968524806, 34.56534253675757 1.3996433812432263, 34.562901505367954 1.3981802833338977, 34.56032881953859 1.3969634935571726, 34.55764925564038 1.396004730263766, 34.55488861933846 1.3953132268683064, 34.55207349706956 1.3948956429265063, 34.549231 1.394756, 34.54638850293044 1.3948956429265063, 34.543573380661535 1.3953132268683064, 34.54081274435962 1.396004730263766, 34.53813318046141 1.3969634935571726, 34.535560494632044 1.3981802833338977, 34.53311946324243 1.3996433812432263, 34.53083359475925 1.4013386968524806, 34.52872490334559 1.40324990334559, 34.52681369685248 1.4053585947592544, 34.525118381243225 1.4076444632424316, 34.523655283333895 1.410085494632046, 34.522438493557175 1.4126581804614124, 34.52147973026376 1.4153377443596207, 34.520788226868305 1.4180983806615324, 34.52037064292651 1.4209135029304427, 34.520230999999995 1.423756, 34.52037064292651 1.4265984970695573, 34.520788226868305 1.4294136193384677, 34.52147973026376 1.4321742556403794, 34.522438493557175 1.4348538195385876, 34.523655283333895 1.437426505367954, 34.525118381243225 1.4398675367575684, 34.52681369685248 1.4421534052407456, 34.52872490334559 1.44426209665441, 34.53083359475925 1.4461733031475195, 34.53311946324243 1.4478686187567738, 34.535560494632044 1.4493317166661024, 34.53813318046141 1.4505485064428274, 34.54081274435962 1.4515072697362341, 34.543573380661535 1.4521987731316937, 34.54638850293044 1.4526163570734938, 34.549231 1.452756, 34.55207349706956 1.4526163570734938, 34.55488861933846 1.4521987731316937, 34.55764925564038 1.4515072697362341, 34.56032881953859 1.4505485064428274, 34.562901505367954 1.4493317166661024, 34.56534253675757 1.4478686187567738, 34.56762840524075 1.4461733031475195, 34.56973709665441 1.44426209665441, 34.57164830314752 1.4421534052407456, 34.57334361875677 1.4398675367575684, 34.5748067166661 1.437426505367954, 34.57602350644282 1.4348538195385876, 34.576982269736234 1.4321742556403794, 34.57767377313169 1.4294136193384677, 34.57809135707349 1.4265984970695573, 34.578231 1.423756))",13427
276,Uganda - Kahama-Ndaragi - 1041111,Rukungiri,Kahama-Ndaragi,1041111,Complete,,2023,2850.0,,"POLYGON ((29.897137 -0.94088, 29.896997357073495 -0.9437224970695574, 29.896579773131695 -0.9465376193384678, 29.895888269736236 -0.9492982556403795, 29.89492950644283 -0.9519778195385876, 29.8937127166661 -0.9545505053679539, 29.892249618756775 -0.9569915367575685, 29.89055430314752 -0.9592774052407458, 29.88864309665441 -0.9613860966544099, 29.886534405240745 -0.9632973031475194, 29.884248536757568 -0.9649926187567739, 29.881807505367956 -0.9664557166661023, 29.87923481953859 -0.9676725064428273, 29.87655525564038 -0.9686312697362341, 29.87379461933847 -0.9693227731316937, 29.87097949706956 -0.9697403570734937, 29.868137 -0.9698800000000001, 29.865294502930443 -0.9697403570734937, 29.862479380661533 -0.9693227731316937, 29.859718744359622 -0.9686312697362341, 29.857039180461413 -0.9676725064428273, 29.854466494632046 -0.9664557166661023, 29.852025463242434 -0.9649926187567739, 29.849739594759257 -0.9632973031475194, 29.847630903345593 -0.9613860966544099, 29.84571969685248 -0.9592774052407458, 29.844024381243226 -0.9569915367575685, 29.8425612833339 -0.9545505053679539, 29.841344493557173 -0.9519778195385876, 29.840385730263765 -0.9492982556403795, 29.839694226868307 -0.9465376193384678, 29.839276642926507 -0.9437224970695574, 29.839137 -0.94088, 29.839276642926507 -0.9380375029304427, 29.839694226868307 -0.9352223806615323, 29.840385730263765 -0.9324617443596206, 29.841344493557173 -0.9297821804614125, 29.8425612833339 -0.9272094946320462, 29.844024381243226 -0.9247684632424316, 29.84571969685248 -0.9224825947592543, 29.847630903345593 -0.9203739033455902, 29.849739594759257 -0.9184626968524807, 29.852025463242434 -0.9167673812432262, 29.854466494632046 -0.9153042833338978, 29.857039180461413 -0.9140874935571728, 29.859718744359622 -0.913128730263766, 29.862479380661533 -0.9124372268683064, 29.865294502930443 -0.9120196429265064, 29.868137 -0.91188, 29.87097949706956 -0.9120196429265064, 29.87379461933847 -0.9124372268683064, 29.87655525564038 -0.913128730263766, 29.87923481953859 -0.9140874935571728, 29.881807505367956 -0.9153042833338978, 29.884248536757568 -0.9167673812432262, 29.886534405240745 -0.9184626968524807, 29.88864309665441 -0.9203739033455902, 29.89055430314752 -0.9224825947592543, 29.892249618756775 -0.9247684632424316, 29.8937127166661 -0.9272094946320462, 29.89492950644283 -0.9297821804614125, 29.895888269736236 -0.9324617443596206, 29.896579773131695 -0.9352223806615323, 29.896997357073495 -0.9380375029304427, 29.897137 -0.94088))",8442
280,Uganda - Waaki west-lokowaki - 1038790,Buliisa,Waaki west-lokowaki,1038790,Complete,In Service,2023,2900.0,,"POLYGON ((31.407287 1.725489, 31.407147357073494 1.7226465029304427, 31.406729773131694 1.7198313806615324, 31.406038269736236 1.7170707443596207, 31.405079506442828 1.7143911804614125, 31.4038627166661 1.711818494632046, 31.402399618756775 1.7093774632424317, 31.40070430314752 1.7070915947592544, 31.39879309665441 1.70498290334559, 31.396684405240745 1.7030716968524806, 31.394398536757567 1.7013763812432263, 31.391957505367955 1.6999132833338977, 31.389384819538588 1.6986964935571727, 31.38670525564038 1.697737730263766, 31.383944619338468 1.6970462268683064, 31.38112949706956 1.6966286429265063, 31.378287 1.6964890000000001, 31.375444502930442 1.6966286429265063, 31.372629380661532 1.6970462268683064, 31.36986874435962 1.697737730263766, 31.367189180461413 1.6986964935571727, 31.364616494632045 1.6999132833338977, 31.362175463242433 1.7013763812432263, 31.359889594759256 1.7030716968524806, 31.357780903345592 1.70498290334559, 31.35586969685248 1.7070915947592544, 31.354174381243226 1.7093774632424317, 31.3527112833339 1.711818494632046, 31.351494493557173 1.7143911804614125, 31.350535730263765 1.7170707443596207, 31.349844226868306 1.7198313806615324, 31.349426642926506 1.7226465029304427, 31.349287 1.725489, 31.349426642926506 1.7283314970695574, 31.349844226868306 1.7311466193384677, 31.350535730263765 1.7339072556403794, 31.351494493557173 1.7365868195385876, 31.3527112833339 1.739159505367954, 31.354174381243226 1.7416005367575684, 31.35586969685248 1.7438864052407457, 31.357780903345592 1.74599509665441, 31.359889594759256 1.7479063031475195, 31.362175463242433 1.7496016187567738, 31.364616494632045 1.7510647166661024, 31.367189180461413 1.7522815064428274, 31.36986874435962 1.7532402697362341, 31.372629380661532 1.7539317731316937, 31.375444502930442 1.7543493570734938, 31.378287 1.754489, 31.38112949706956 1.7543493570734938, 31.383944619338468 1.7539317731316937, 31.38670525564038 1.7532402697362341, 31.389384819538588 1.7522815064428274, 31.391957505367955 1.7510647166661024, 31.394398536757567 1.7496016187567738, 31.396684405240745 1.7479063031475195, 31.39879309665441 1.74599509665441, 31.40070430314752 1.7438864052407457, 31.402399618756775 1.7416005367575684, 31.4038627166661 1.739159505367954, 31.405079506442828 1.7365868195385876, 31.406038269736236 1.7339072556403794, 31.406729773131694 1.7311466193384677, 31.407147357073494 1.7283314970695574, 31.407287 1.725489))",10537
292,Uganda - Rwanda - 1015528,Bukwo,Rwanda,1015528,Complete,In Service,2019,1742.0,,"POLYGON ((34.755981000000006 1.283832, 34.75584135707349 1.2809895029304428, 34.755423773131696 1.2781743806615324, 34.75473226973624 1.2754137443596207, 34.753773506442826 1.2727341804614125, 34.752556716666106 1.270161494632046, 34.75109361875678 1.2677204632424317, 34.74939830314752 1.2654345947592545, 34.74748709665441 1.2633259033455901, 34.74537840524075 1.2614146968524806, 34.74309253675757 1.2597193812432264, 34.74065150536796 1.2582562833338977, 34.73807881953859 1.2570394935571727, 34.73539925564038 1.256080730263766, 34.732638619338466 1.2553892268683065, 34.72982349706956 1.2549716429265063, 34.726981 1.2548320000000002, 34.724138502930444 1.2549716429265063, 34.72132338066154 1.2553892268683065, 34.71856274435962 1.256080730263766, 34.71588318046141 1.2570394935571727, 34.71331049463205 1.2582562833338977, 34.71086946324243 1.2597193812432264, 34.708583594759254 1.2614146968524806, 34.706474903345594 1.2633259033455901, 34.70456369685248 1.2654345947592545, 34.70286838124323 1.2677204632424317, 34.7014052833339 1.270161494632046, 34.70018849355718 1.2727341804614125, 34.69922973026377 1.2754137443596207, 34.69853822686831 1.2781743806615324, 34.69812064292651 1.2809895029304428, 34.697981 1.283832, 34.69812064292651 1.2866744970695574, 34.69853822686831 1.2894896193384677, 34.69922973026377 1.2922502556403794, 34.70018849355718 1.2949298195385877, 34.7014052833339 1.297502505367954, 34.70286838124323 1.2999435367575685, 34.70456369685248 1.3022294052407457, 34.706474903345594 1.30433809665441, 34.708583594759254 1.3062493031475195, 34.71086946324243 1.3079446187567738, 34.71331049463205 1.3094077166661025, 34.71588318046141 1.3106245064428275, 34.71856274435962 1.3115832697362342, 34.72132338066154 1.3122747731316937, 34.724138502930444 1.3126923570734939, 34.726981 1.312832, 34.72982349706956 1.3126923570734939, 34.732638619338466 1.3122747731316937, 34.73539925564038 1.3115832697362342, 34.73807881953859 1.3106245064428275, 34.74065150536796 1.3094077166661025, 34.74309253675757 1.3079446187567738, 34.74537840524075 1.3062493031475195, 34.74748709665441 1.30433809665441, 34.74939830314752 1.302229405240746, 34.75109361875678 1.2999435367575685, 34.752556716666106 1.297502505367954, 34.753773506442826 1.2949298195385877, 34.75473226973624 1.2922502556403794, 34.755423773131696 1.2894896193384677, 34.75584135707349 1.2866744970695574, 34.755981000000006 1.283832))",24655
306,Uganda - Nganda- Bubwe - 1038749,Buliisa,Nganda- Bubwe,1038749,Complete,,2023,3254.0,,"POLYGON ((31.4618 1.777943, 31.461660357073495 1.7751005029304427, 31.461242773131694 1.7722853806615324, 31.460551269736236 1.7695247443596207, 31.459592506442828 1.7668451804614125, 31.4583757166661 1.764272494632046, 31.456912618756775 1.7618314632424317, 31.45521730314752 1.7595455947592544, 31.45330609665441 1.75743690334559, 31.451197405240745 1.7555256968524806, 31.448911536757567 1.7538303812432263, 31.446470505367955 1.7523672833338977, 31.443897819538588 1.7511504935571727, 31.44121825564038 1.750191730263766, 31.438457619338468 1.7495002268683064, 31.43564249706956 1.7490826429265063, 31.4328 1.7489430000000001, 31.429957502930442 1.7490826429265063, 31.427142380661532 1.7495002268683064, 31.42438174435962 1.750191730263766, 31.421702180461413 1.7511504935571727, 31.419129494632045 1.7523672833338977, 31.416688463242433 1.7538303812432263, 31.414402594759256 1.7555256968524806, 31.412293903345592 1.75743690334559, 31.41038269685248 1.7595455947592544, 31.408687381243226 1.7618314632424317, 31.4072242833339 1.764272494632046, 31.406007493557173 1.7668451804614125, 31.405048730263765 1.7695247443596207, 31.404357226868306 1.7722853806615324, 31.403939642926506 1.7751005029304427, 31.4038 1.777943, 31.403939642926506 1.7807854970695574, 31.404357226868306 1.7836006193384677, 31.405048730263765 1.7863612556403794, 31.406007493557173 1.7890408195385876, 31.4072242833339 1.791613505367954, 31.408687381243226 1.7940545367575684, 31.41038269685248 1.7963404052407457, 31.412293903345592 1.79844909665441, 31.414402594759256 1.8003603031475195, 31.416688463242433 1.8020556187567738, 31.419129494632045 1.8035187166661024, 31.421702180461413 1.8047355064428274, 31.42438174435962 1.8056942697362341, 31.427142380661532 1.8063857731316937, 31.429957502930442 1.8068033570734938, 31.4328 1.806943, 31.43564249706956 1.8068033570734938, 31.438457619338468 1.8063857731316937, 31.44121825564038 1.8056942697362341, 31.443897819538588 1.8047355064428274, 31.446470505367955 1.8035187166661024, 31.448911536757567 1.8020556187567738, 31.451197405240745 1.8003603031475195, 31.45330609665441 1.79844909665441, 31.45521730314752 1.7963404052407457, 31.456912618756775 1.7940545367575684, 31.4583757166661 1.791613505367954, 31.459592506442828 1.7890408195385876, 31.460551269736236 1.7863612556403794, 31.461242773131694 1.7836006193384677, 31.461660357073495 1.7807854970695574, 31.4618 1.777943))",6049
